number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_max_depth,params_multiplier_learning_rate,params_n_estimators
0,0 days 00:00:01.860021,0.07881649212985159,0.3934845343363656,2,0.03547635730051962,217
1,0 days 00:00:03.903459,0.16242949966150969,0.14610188052647008,3,0.1345620713102714,495
2,0 days 00:00:08.693508,0.15578758457237812,0.015666127862559737,5,0.02591090044506857,641
3,0 days 00:00:04.504434,0.0400556392790967,0.03174526577335546,6,0.32705537747627844,518
4,0 days 00:00:02.182062,0.023723143468456828,0.015880149636209658,3,0.028301484561350856,206
5,0 days 00:00:06.758028,0.13873594823588872,0.018112094389562076,5,0.24070113181198424,726
6,0 days 00:00:08.271598,0.2181402678774474,0.027317971874197763,4,0.05705083970679499,906
7,0 days 00:00:04.025361,0.24440029389307827,0.37561165159578275,2,0.019637402512790284,555
8,0 days 00:00:05.728891,0.017079440434574635,0.13568581480341813,2,0.07135228733393707,738
9,0 days 00:00:04.446195,0.3219642766127154,0.22935184312999074,4,0.3288493273663186,556
10,0 days 00:00:06.681449,0.006166831211585708,0.09131185267224727,6,0.014130233517646583,798
11,0 days 00:00:04.395876,0.06403218467668768,0.08113355064627513,6,0.0067745323930780916,289
12,0 days 00:00:02.469643,0.057012683256590306,0.3726734393745099,3,0.02029331857687851,305
13,0 days 00:00:03.381199,0.00971553343804773,0.06607568507800485,5,0.027884439021597388,344
14,0 days 00:00:02.094015,0.007587036460118336,0.06230678326735456,4,0.24534537377672616,227
15,0 days 00:00:05.437199,0.26267405471524385,0.39657994669913343,2,0.11092156808074549,784
16,0 days 00:00:03.622294,0.009305611119761978,0.20730481995328032,3,0.43120538047739243,478
17,0 days 00:00:05.085656,0.0350441620027421,0.01052410159776371,4,0.32517958389526197,584
18,0 days 00:00:02.480759,0.028889373595284977,0.012731336134607887,3,0.02128456269135668,224
19,0 days 00:00:07.687800,0.2932674578186925,0.06253209337576301,6,0.4902136144237493,776
20,0 days 00:00:03.059060,0.008271566647172936,0.02372692324982489,6,0.1132179795313644,309
21,0 days 00:00:07.624644,0.11705866132432037,0.1234251344302935,6,0.012358353061721864,837
22,0 days 00:00:03.117999,0.3631308553769735,0.3401053603934476,3,0.01196825584498585,369
23,0 days 00:00:03.926114,0.03176159856692959,0.1331797937640884,6,0.49842453735747366,441
24,0 days 00:00:03.300314,0.0820943290818894,0.010469839531624465,5,0.4269636720738197,235
25,0 days 00:00:05.685303,0.05056308121166897,0.015582372697192063,4,0.2708964152846675,661
26,0 days 00:00:03.618940,0.14376859355796612,0.20271755687069518,2,0.43974184698364943,474
27,0 days 00:00:04.576727,0.023858095225425247,0.03744145378283951,3,0.09129084573958193,561
28,0 days 00:00:06.742279,0.00594425224001349,0.020966921590211785,6,0.1528479816432393,752
29,0 days 00:00:03.676146,0.014505642802116378,0.14564556651923632,2,0.02340577621553002,457
30,0 days 00:00:04.034524,0.3254761028979562,0.0497717835055608,3,0.15311431275877393,513
31,0 days 00:00:06.522172,0.060185354400032594,0.04255904553960104,6,0.015898907183793776,714
32,0 days 00:00:04.469419,0.007626193247401259,0.010551644220725293,5,0.044007831234107536,359
33,0 days 00:00:04.371592,0.2882868028452031,0.07080721391644139,6,0.3738767176945078,466
34,0 days 00:00:06.090653,0.008674400800129213,0.026839096633378228,6,0.005191532046984457,506
35,0 days 00:00:06.199852,0.00785804137632702,0.07417322921812522,2,0.005103092394974572,769
36,0 days 00:00:05.375696,0.05061980866071655,0.17466828627012346,3,0.11877792557900542,725
37,0 days 00:00:03.508179,0.005104100978115885,0.07048471752693936,5,0.03932467997465126,398
38,0 days 00:00:02.050835,0.2750383949191463,0.07310708917989354,3,0.38047102384844267,237
39,0 days 00:00:03.626659,0.0609456171188319,0.010552286024338725,5,0.0748973027799294,209
40,0 days 00:00:03.806101,0.021895135363998106,0.10463207439263085,5,0.30722308751843186,479
41,0 days 00:00:10.848110,0.09354207442741766,0.03617376114152358,5,0.005628341863209328,535
42,0 days 00:00:03.371869,0.1593382744395639,0.01667280941001085,4,0.07605597434439018,289
43,0 days 00:00:03.976297,0.009530976222647836,0.017887004039237934,6,0.039174290749022886,232
44,0 days 00:00:06.935514,0.010152942189158366,0.0116080088013635,6,0.25666507715296916,823
45,0 days 00:00:02.069738,0.007883399768080198,0.4085619949243556,2,0.2976900472590101,279
46,0 days 00:00:04.551229,0.006650886552211441,0.15163096235390752,5,0.022903758260608927,548
47,0 days 00:00:03.860654,0.20111833677961036,0.02954760513889257,4,0.4023546534802691,405
48,0 days 00:00:03.325997,0.34100659288463075,0.12519090890234866,4,0.3621181621525898,382
49,0 days 00:00:07.399129,0.1548946511119513,0.21174225661675167,4,0.06762194821945805,940
50,0 days 00:00:02.772051,0.009073160161749246,0.27058863627819457,6,0.05596230294086299,315
51,0 days 00:00:04.683142,0.3429755675191834,0.3163474586541632,3,0.04181589828577417,584
52,0 days 00:00:02.175540,0.33837823113391485,0.24044685987029754,2,0.007620633383547374,225
53,0 days 00:00:03.724960,0.05949014007472804,0.2877912235425445,3,0.01407504138602238,463
54,0 days 00:00:03.342596,0.2624283149533422,0.42276846778345595,6,0.009924674987870124,277
55,0 days 00:00:01.687004,0.020318362774846173,0.10615611849586436,2,0.03713576448350515,215
56,0 days 00:00:05.829234,0.12536657360101744,0.06966828546839364,5,0.006355040735375528,427
57,0 days 00:00:07.181600,0.07921346908826137,0.21477211719647,5,0.03464795631958947,881
58,0 days 00:00:03.799145,0.07876478754138172,0.4182162885950365,5,0.011551608213316801,455
59,0 days 00:00:05.662615,0.03793994238601275,0.2199486241260412,6,0.02952634755661974,674
60,0 days 00:00:04.298381,0.012716154415674301,0.1255697115218713,4,0.41556174588249617,545
61,0 days 00:00:03.455400,0.058529840766091586,0.11985939708744481,6,0.005500988165715533,226
62,0 days 00:00:06.597392,0.09582475678154866,0.1108032809467615,4,0.006713276404944918,789
63,0 days 00:00:04.673150,0.19466786495746036,0.10903490152181522,5,0.0915532429871206,583
64,0 days 00:00:04.057384,0.010779353990800652,0.015735324585195082,5,0.03864602791132398,290
65,0 days 00:00:02.242233,0.0642668182119527,0.025833377529938688,2,0.008686106910196313,228
66,0 days 00:00:05.237523,0.008067129361991493,0.04770604715329657,4,0.030002168001904903,602
67,0 days 00:00:07.026456,0.07156126590847314,0.05534098621365547,6,0.29258507828672564,914
68,0 days 00:00:04.133763,0.11677812344277025,0.08295823292359362,6,0.03656630259406488,394
69,0 days 00:00:09.421682,0.36558981557178993,0.07640526844011196,6,0.2445548221836567,784
70,0 days 00:00:03.315701,0.005389846579238126,0.049588701077924666,6,0.19279962630464062,336
71,0 days 00:00:03.992580,0.012990387737024338,0.044537896055077374,5,0.19459364766448747,511
72,0 days 00:00:11.029596,0.41011086747809405,0.0884185585761395,6,0.07486931463228406,776
73,0 days 00:00:04.987523,0.037476649600548785,0.02360480061446767,3,0.3858168095945403,676
74,0 days 00:00:01.763774,0.04208773484856009,0.05296403974933249,2,0.35279195545452813,217
75,0 days 00:00:02.343469,0.08743362377183561,0.031057068802266972,4,0.14783041044598325,239
76,0 days 00:00:12.966334,0.2145420800664943,0.037893749772625794,6,0.005856727233039681,466
77,0 days 00:00:03.269868,0.03311433101426398,0.3758632917417081,6,0.04574434252147639,369
78,0 days 00:00:02.095507,0.039982201438046795,0.03664451054868463,6,0.23734557726491495,200
79,0 days 00:00:03.952724,0.017018317212803717,0.04870034911896838,3,0.022802225508675104,515
80,0 days 00:00:01.870567,0.009477480412799593,0.34117699206270624,3,0.046074050730697605,212
81,0 days 00:00:05.378763,0.01761480482838266,0.11803120371366202,6,0.005816432544127026,576
82,0 days 00:00:02.147392,0.05943010709794113,0.015592062812350437,2,0.034316352070012116,226
83,0 days 00:00:04.573169,0.37740055970062547,0.4825360535285886,3,0.07693532530884688,622
84,0 days 00:00:06.230262,0.014153372460402398,0.22852480583837012,3,0.266759400428733,806
85,0 days 00:00:09.457582,0.09453778969110095,0.010121679319754787,6,0.005325190481673709,325
86,0 days 00:00:02.368370,0.04647821715465344,0.08196393129776484,3,0.2887405478388093,311
87,0 days 00:00:08.198684,0.006118536778478537,0.020012289277726854,6,0.014056372556800154,832
88,0 days 00:00:03.025526,0.012366979855952922,0.07448927948949019,3,0.009462341599747747,345
89,0 days 00:00:07.678353,0.45577759437781235,0.02304407403258789,3,0.006486737305125428,555
90,0 days 00:00:03.156264,0.04908879886368302,0.06364151003043123,4,0.44076735050971916,404
91,0 days 00:00:03.884057,0.009745339983772607,0.018149752069004606,4,0.009339856727873486,315
92,0 days 00:00:04.460755,0.022960826803834797,0.3955121866536425,2,0.06951041237284201,644
93,0 days 00:00:04.554190,0.1659091947315645,0.2206102876364366,6,0.006780495347602272,371
94,0 days 00:00:02.190786,0.05712129252004738,0.2417049707041635,2,0.009881025780991272,273
95,0 days 00:00:03.096723,0.0560699267316912,0.13851358340324804,4,0.009470807743163438,362
96,0 days 00:00:07.138528,0.10975815697592632,0.01730189440799204,5,0.025769295688600247,999
97,0 days 00:00:02.829453,0.082761544691364,0.2277188126438461,5,0.016187756442627467,311
98,0 days 00:00:02.323567,0.06831170926369007,0.3992824565543478,5,0.029875266414343342,328
99,0 days 00:00:01.935727,0.0067195280166935725,0.3053024682267566,6,0.11099062530982967,313
